					have a bath		darse un baño

					have a shower		ducharse

					cook			cocinar

					watch TV			ver la televisión


				*Days of the week:

					Monday			Lunes

					Tuesday			Martes

					Wednesday		Miércoles

					Thursday			Jueves

					Friday			Viernes

					Saturday			Sábado

					Sunday			Domingo


				modulo 6:

					meet friends		conocer amigos

					go dancing		ir a bailar

					see a movie 		ver una película

					go shopping 		ir de compras

					do exercise 		hacer ejercicio

					on + days of the week 	+ días de la semana

					at the weekend		el fin de semana

					post pictures on Instagram 	publicar fotos en Instagram

					play video games		jugar a videojuegos

					chat on the phone		chatear por teléfono

					read a book		leer un libro

					listen to music		escuchar música

					lately			últimamente

					stay up late		quedarse hasta tarde

					headaches		dolores de cabeza

					sleepy			con sueño

					teenage			adolescente

					until			hasta

					play sports		hacer deporte

					go for a walk		pasear

					go to the park		ir al parque

					clean the house		limpiar la casa

					make my bed		hacer la cama

					do homework		hacer los deberes

					healthy			saludable

				Modulo 7:

					like			gustar

					work			trabajar

					meet friends		quedar con amigos

					do the shopping		hacer la compra

					see a movie		ver una película

					do the washing		lavar la ropa

					maybe			quizás

					take a nap 		echar una siesta

					cook			cocinar

					have lunch		almorzar

					watch TV			ver la televisión

					do the homework		hacer los deberes

					live in a house / flat		vivir en una casa / piso

					vegetable patch		huerta

					in charge of		a cargo de

					at midday			al medio día

					read a book		leer un libro

					surf the net		navegar por la red

					walk the dog		pasear al perro

					play the guitar		tocar la guitarra

					ride a bike			montar en bicicleta

					however			sin embargo

					neighbourhood		barrio

					we should work on that	debemos trabajar sobre eso.


				Modulo 7 week 2:

					always			siempre

					usually			normalmente

					often			a menudo

					sometimes		a veces

					hardly ever		casi nunca

					never			nunca

					hates			odia

					near			cerca

					boil 			hervir

					heat 			calentar

					burn 			quemar
	
					freeze 			congelar

					break 			romper

					retired			jubilado/a
					kind			amable
					sweet			dulce
					the best			la/el mejor

Modulo 8

Get along well 		Llevarse bien

That’s neat! 		¡Qué bien!/ es genial / es increible / 
